edge_id,u,v,dist,edge_type
alight_edge_000137,ride_1125735999,ew_1125735999,0.0,alight
alight_edge_000138,ride_1125736006,ew_1125736006,0.0,alight
alight_edge_000139,ride_1125736009,ew_1125736009,0.0,alight
alight_edge_000140,ride_1125736011,ew_1125736011,0.0,alight
alight_edge_000141,ride_1125736017,ew_1125736017,0.0,alight
alight_edge_000142,ride_1125736028,ew_1125736028,0.0,alight
alight_edge_000143,ride_1125736039,ew_1125736039,0.0,alight
alight_edge_000144,ride_1125736040,ew_1125736040,0.0,alight
alight_edge_000145,ride_1125736044,ew_1125736044,0.0,alight
alight_edge_000146,ride_1125736372,ew_1125736372,0.0,alight
alight_edge_000147,ride_1125736373,ew_1125736373,0.0,alight
alight_edge_000148,ride_1125743480,ew_1125743480,0.0,alight
alight_edge_000149,ride_1125743482,ew_1125743482,0.0,alight
alight_edge_000150,ride_1125743488,ew_1125743488,0.0,alight
alight_edge_000151,ride_1125743490,ew_1125743490,0.0,alight
alight_edge_000152,ride_1125743491,ew_1125743491,0.0,alight
alight_edge_000153,ride_1125743493,ew_1125743493,0.0,alight
alight_edge_000154,ride_1125743494,ew_1125743494,0.0,alight
alight_edge_000155,ride_1125743502,ew_1125743502,0.0,alight
alight_edge_000156,ride_1125743507,ew_1125743507,0.0,alight
alight_edge_000157,ride_1125743517,ew_1125743517,0.0,alight
alight_edge_000158,ride_1125743525,ew_1125743525,0.0,alight
alight_edge_000159,ride_1125743526,ew_1125743526,0.0,alight
alight_edge_000160,ride_1125743537,ew_1125743537,0.0,alight
alight_edge_000161,ride_1125743541,ew_1125743541,0.0,alight
alight_edge_000162,ride_1125743544,ew_1125743544,0.0,alight
alight_edge_000163,ride_1125743548,ew_1125743548,0.0,alight
alight_edge_000164,ride_1125743550,ew_1125743550,0.0,alight
alight_edge_000165,ride_1125743568,ew_1125743568,0.0,alight
alight_edge_000166,ride_1125743577,ew_1125743577,0.0,alight
alight_edge_000167,ride_1125743578,ew_1125743578,0.0,alight
alight_edge_000168,ride_1125743581,ew_1125743581,0.0,alight
alight_edge_000169,ride_1125743610,ew_1125743610,0.0,alight
alight_edge_000170,ride_1125743618,ew_1125743618,0.0,alight
alight_edge_000171,ride_1125743627,ew_1125743627,0.0,alight
alight_edge_000172,ride_1125743632,ew_1125743632,0.0,alight
alight_edge_000173,ride_1125743637,ew_1125743637,0.0,alight
alight_edge_000174,ride_1125743640,ew_1125743640,0.0,alight
alight_edge_000175,ride_1125743644,ew_1125743644,0.0,alight
alight_edge_000176,ride_1125743654,ew_1125743654,0.0,alight
alight_edge_000177,ride_1125743673,ew_1125743673,0.0,alight
alight_edge_000178,ride_1125743675,ew_1125743675,0.0,alight
alight_edge_000179,ride_1125743678,ew_1125743678,0.0,alight
alight_edge_000180,ride_1125744804,ew_1125744804,0.0,alight
alight_edge_000181,ride_1125744816,ew_1125744816,0.0,alight
alight_edge_000182,ride_1125749161,ew_1125749161,0.0,alight
alight_edge_000183,ride_1125749162,ew_1125749162,0.0,alight
alight_edge_000184,ride_1125749168,ew_1125749168,0.0,alight
alight_edge_000185,ride_1125749184,ew_1125749184,0.0,alight
alight_edge_000186,ride_1125749185,ew_1125749185,0.0,alight
alight_edge_000187,ride_1125749186,ew_1125749186,0.0,alight
alight_edge_000188,ride_1125749188,ew_1125749188,0.0,alight
alight_edge_000189,ride_1125755727,ew_1125755727,0.0,alight
alight_edge_000190,ride_1125755729,ew_1125755729,0.0,alight
alight_edge_000191,ride_1125755733,ew_1125755733,0.0,alight
alight_edge_000192,ride_1125755744,ew_1125755744,0.0,alight
alight_edge_000193,ride_1125755758,ew_1125755758,0.0,alight
alight_edge_000194,ride_1125755762,ew_1125755762,0.0,alight
alight_edge_000195,ride_1125755768,ew_1125755768,0.0,alight
alight_edge_000196,ride_1125755773,ew_1125755773,0.0,alight
alight_edge_000197,ride_1125755775,ew_1125755775,0.0,alight
alight_edge_000198,ride_1125761656,ew_1125761656,0.0,alight
alight_edge_000199,ride_1125761658,ew_1125761658,0.0,alight
alight_edge_000200,ride_1125761659,ew_1125761659,0.0,alight
alight_edge_000201,ride_1125761668,ew_1125761668,0.0,alight
alight_edge_000202,ride_1125761669,ew_1125761669,0.0,alight
alight_edge_000203,ride_1125761670,ew_1125761670,0.0,alight
alight_edge_000204,ride_1125761671,ew_1125761671,0.0,alight
alight_edge_000205,ride_1125761673,ew_1125761673,0.0,alight
alight_edge_000206,ride_1125761677,ew_1125761677,0.0,alight
alight_edge_000207,ride_1125761681,ew_1125761681,0.0,alight
alight_edge_000208,ride_1125761688,ew_1125761688,0.0,alight
alight_edge_000209,ride_1125761694,ew_1125761694,0.0,alight
alight_edge_000210,ride_1125761696,ew_1125761696,0.0,alight
alight_edge_000211,ride_1125761699,ew_1125761699,0.0,alight
alight_edge_000212,ride_1125761702,ew_1125761702,0.0,alight
alight_edge_000213,ride_1125761718,ew_1125761718,0.0,alight
alight_edge_000214,ride_1125761719,ew_1125761719,0.0,alight
alight_edge_000215,ride_1125761728,ew_1125761728,0.0,alight
alight_edge_000216,ride_1125761733,ew_1125761733,0.0,alight
alight_edge_000217,ride_1125761735,ew_1125761735,0.0,alight
alight_edge_000218,ride_1125761739,ew_1125761739,0.0,alight
alight_edge_000219,ride_1125761741,ew_1125761741,0.0,alight
alight_edge_000220,ride_1125761748,ew_1125761748,0.0,alight
alight_edge_000221,ride_1125761749,ew_1125761749,0.0,alight
alight_edge_000222,ride_1125761754,ew_1125761754,0.0,alight
alight_edge_000223,ride_1125761758,ew_1125761758,0.0,alight
alight_edge_000224,ride_1125761761,ew_1125761761,0.0,alight
alight_edge_000225,ride_1125761762,ew_1125761762,0.0,alight
alight_edge_000226,ride_1125761765,ew_1125761765,0.0,alight
alight_edge_000227,ride_1125761772,ew_1125761772,0.0,alight
alight_edge_000228,ride_1125761776,ew_1125761776,0.0,alight
alight_edge_000229,ride_1125761779,ew_1125761779,0.0,alight
alight_edge_000230,ride_1125761780,ew_1125761780,0.0,alight
alight_edge_000231,ride_1125768529,ew_1125768529,0.0,alight
alight_edge_000232,ride_1125768537,ew_1125768537,0.0,alight
alight_edge_000233,ride_1125768542,ew_1125768542,0.0,alight
alight_edge_000234,ride_1125768559,ew_1125768559,0.0,alight
alight_edge_000235,ride_1125768590,ew_1125768590,0.0,alight
alight_edge_000236,ride_1125768617,ew_1125768617,0.0,alight
alight_edge_000237,ride_1125768622,ew_1125768622,0.0,alight
alight_edge_000238,ride_1125768638,ew_1125768638,0.0,alight
alight_edge_000239,ride_1125768640,ew_1125768640,0.0,alight
alight_edge_000240,ride_1125768649,ew_1125768649,0.0,alight
alight_edge_000241,ride_1125768658,ew_1125768658,0.0,alight
alight_edge_000242,ride_1125768659,ew_1125768659,0.0,alight
alight_edge_000243,ride_1125768664,ew_1125768664,0.0,alight
alight_edge_000244,ride_1125768682,ew_1125768682,0.0,alight
alight_edge_000245,ride_1125768688,ew_1125768688,0.0,alight
alight_edge_000246,ride_1125768704,ew_1125768704,0.0,alight
alight_edge_000247,ride_1125768707,ew_1125768707,0.0,alight
alight_edge_000248,ride_1125768712,ew_1125768712,0.0,alight
alight_edge_000249,ride_1125768714,ew_1125768714,0.0,alight
alight_edge_000250,ride_1125781587,ew_1125781587,0.0,alight
alight_edge_000251,ride_1125781591,ew_1125781591,0.0,alight
alight_edge_000252,ride_1125781593,ew_1125781593,0.0,alight
alight_edge_000253,ride_1125781594,ew_1125781594,0.0,alight
alight_edge_000254,ride_1125781596,ew_1125781596,0.0,alight
alight_edge_000255,ride_1125781597,ew_1125781597,0.0,alight
alight_edge_000256,ride_1125781598,ew_1125781598,0.0,alight
alight_edge_000257,ride_1125781602,ew_1125781602,0.0,alight
alight_edge_000258,ride_1125781604,ew_1125781604,0.0,alight
alight_edge_000259,ride_1125781606,ew_1125781606,0.0,alight
alight_edge_000260,ride_1125781608,ew_1125781608,0.0,alight
alight_edge_000261,ride_1125781609,ew_1125781609,0.0,alight
alight_edge_000262,ride_1125781610,ew_1125781610,0.0,alight
alight_edge_000263,ride_1125781616,ew_1125781616,0.0,alight
alight_edge_000264,ride_1125781617,ew_1125781617,0.0,alight
alight_edge_000265,ride_1125781618,ew_1125781618,0.0,alight
alight_edge_000266,ride_1125781619,ew_1125781619,0.0,alight
alight_edge_000267,ride_1125781625,ew_1125781625,0.0,alight
alight_edge_000268,ride_1125781626,ew_1125781626,0.0,alight
alight_edge_000269,ride_1125781629,ew_1125781629,0.0,alight
alight_edge_000270,ride_1125781630,ew_1125781630,0.0,alight
alight_edge_000271,ride_1125781633,ew_1125781633,0.0,alight
alight_edge_000272,ride_1125781634,ew_1125781634,0.0,alight
alight_edge_000273,ride_1125781635,ew_1125781635,0.0,alight
alight_edge_000274,ride_1125781636,ew_1125781636,0.0,alight
alight_edge_000275,ride_1125781637,ew_1125781637,0.0,alight
alight_edge_000276,ride_1125781640,ew_1125781640,0.0,alight
alight_edge_000277,ride_1125781643,ew_1125781643,0.0,alight
alight_edge_000278,ride_1125781646,ew_1125781646,0.0,alight
alight_edge_000279,ride_1125782512,ew_1125782512,0.0,alight
alight_edge_000280,ride_1125782518,ew_1125782518,0.0,alight
alight_edge_000281,ride_1125783381,ew_1125783381,0.0,alight
alight_edge_000282,ride_1125783383,ew_1125783383,0.0,alight
alight_edge_000283,ride_1125783384,ew_1125783384,0.0,alight
alight_edge_000284,ride_1125783386,ew_1125783386,0.0,alight
alight_edge_000285,ride_1125783390,ew_1125783390,0.0,alight
alight_edge_000286,ride_1125783391,ew_1125783391,0.0,alight
alight_edge_000287,ride_1125806118,ew_1125806118,0.0,alight
alight_edge_000288,ride_1125806122,ew_1125806122,0.0,alight
alight_edge_000289,ride_1125806130,ew_1125806130,0.0,alight
alight_edge_000290,ride_1125806146,ew_1125806146,0.0,alight
alight_edge_000291,ride_1125806155,ew_1125806155,0.0,alight
alight_edge_000292,ride_1125806170,ew_1125806170,0.0,alight
alight_edge_000293,ride_1125806186,ew_1125806186,0.0,alight
alight_edge_000294,ride_1125806205,ew_1125806205,0.0,alight
alight_edge_000295,ride_1125806214,ew_1125806214,0.0,alight
alight_edge_000296,ride_1125806220,ew_1125806220,0.0,alight
alight_edge_000297,ride_1125806233,ew_1125806233,0.0,alight
alight_edge_000298,ride_1125806239,ew_1125806239,0.0,alight
alight_edge_000299,ride_1125806255,ew_1125806255,0.0,alight
alight_edge_000300,ride_1125806257,ew_1125806257,0.0,alight
alight_edge_000301,ride_1125806267,ew_1125806267,0.0,alight
alight_edge_000302,ride_1125806270,ew_1125806270,0.0,alight
alight_edge_000303,ride_1125806275,ew_1125806275,0.0,alight
alight_edge_000304,ride_1125806286,ew_1125806286,0.0,alight
