phase,route_index,route_id,shape_length_m,shape_area_m2,shape_compactness,shape_area_to_length,shape_diameter_m,history_turn_ratio,history_turn_count,history_self_intersections,history_sinuosity,topology_node_count,topology_unique_node_count,topology_unique_node_ratio,topology_revisit_count,demand_mean_v_ped,demand_max_v_ped,demand_anchor_mean_v_ped,demand_anchor_max_v_ped,global_reward,global_average_gtc,global_passenger_gtc_std,global_reward_per_km,global_average_gtc_per_km
B4A pre-training,10,B4A11,23777.723924689068,3933605.9254923053,0.006957453123240304,165.43239958337364,11167.576400091762,7.549704681441166,127.0,124,2.1291749501255874,128,67,0.5234375,61,1.934666388911019,2.9129472553049527,1.6324566820317137,2.627379201788175,-162.6202774215704,162.6202774215704,37.94798870397358,-6.839186035494224,6.839186035494224
B4A pre-training,11,B4A12,36710.09980142457,19487035.19154374,0.01446021129731183,530.8357998740044,13369.636102222152,10.111227249783507,255.0,251,2.7457815246985686,256,131,0.51171875,125,1.8735211801271043,2.9129472553049527,1.0093382481602133,2.5219275079854975,-7352.036823077928,7352.036823077928,9670.559384846843,-200.2728639488097,200.2728639488097
B4A pre-training,12,B4A13,32430.746356379874,32673625.60684632,0.03106586432393512,1007.4891662312505,10641.380717329197,10.488177121898243,183.0,71,3.0476069993029467,184,152,0.8260869565217391,32,1.5255475198625734,2.9129472553049527,1.090691597137611,1.8433756601312152,-19263.615899709454,19263.615899709454,24550.43296880156,-593.9923703272977,593.9923703272977
B4A pre-training,13,B4A14,89207.61189299851,48941724.088303134,0.00615000455735779,548.6272196929458,31733.70093214934,17.65686844075828,339.0,284,2.81113167618664,340,198,0.5823529411764706,142,1.60995515709425,2.9129472553049527,1.243293101008319,2.627379201788175,-57.638462861606946,57.638462861606946,36.599742266073534,-0.6461159719278475,0.6461159719278475
B4A pre-training,14,B4A15,19254.81885712464,5224361.387205223,0.014091406274926868,271.3274752658664,7236.496857357928,9.991478979726313,169.0,68,2.660792816837434,170,136,0.8,34,1.3697999965006649,2.9129472553049527,1.0057198434558556,1.802712933576491,-4985.191315133867,4985.191315133867,9541.803533591947,-258.9061653669753,258.9061653669753
B4A pre-training,15,B4A16,23463.200367478083,9678692.126583206,0.01758094343932237,412.50519856612,9102.111921104653,8.33285915015576,136.0,58,2.5777754185899457,137,110,0.8029197080291971,27,1.7354840316767575,2.9129472553049527,1.866711468594935,2.5885230667849903,-2829.34444304887,2829.34444304887,5260.6317205361665,-120.58646726516358,120.58646726516358
B4A pre-training,16,B4A17,79404.01084447326,48758985.933790244,0.007733387725925471,614.0620028539025,30805.912735947426,11.485183887808967,347.0,290,2.5775574814187117,348,204,0.5862068965517241,144,1.6974452795248816,2.9129472553049527,0.7769524115819253,2.0708246323390243,-14609.229454116046,14609.229454116046,17992.311854979223,-183.98603922830543,183.98603922830543
B4A pre-training,17,B4A18,87633.27947125364,98228090.5143112,0.012790796011549888,1120.8994015399478,31110.639050295405,13.70379363476492,323.0,226,2.816826723796326,324,211,0.6512345679012346,113,1.4726547252731699,2.9129472553049527,1.037691658324814,1.623286150348669,-11112.035982785552,11112.035982785552,13578.364710020676,-126.80155358593689,126.80155358593689
B4A pre-training,18,B4A19,72054.4827889416,123929472.36823882,0.02387000942099358,1719.941182996856,24118.218379545637,14.828804442320251,377.0,319,2.9875541242320836,378,221,0.5846560846560847,157,1.5742520182225024,2.9129472553049527,1.318854149381443,2.072859753565032,-15769.397936270087,15769.397936270087,20659.61492833109,-218.8538079228328,218.8538079228328
B4A pre-training,19,B4A20,67091.86470464236,43959131.118588686,0.009765834827846697,655.2080689977748,24984.57520483421,15.285549682856782,308.0,306,2.6853314156672514,309,157,0.5080906148867314,152,1.7270296958586775,2.9129472553049527,1.6056040925744433,2.569902489249054,-13536.636050904592,13536.636050904592,26797.410385135696,-201.76270417429515,201.76270417429515
