,shape_length_m,shape_area_m2,shape_compactness,shape_area_to_length,shape_diameter_m,history_turn_ratio,history_turn_count,history_self_intersections,history_sinuosity,topology_node_count,topology_unique_node_count,topology_unique_node_ratio,topology_revisit_count,demand_mean_v_ped,demand_max_v_ped,demand_anchor_mean_v_ped,demand_anchor_max_v_ped,global_reward,global_average_gtc,global_passenger_gtc_std,global_reward_per_km,global_average_gtc_per_km
topology_unique_node_count,0.8284851788489789,0.849373659672102,0.35719468804385823,0.7778953416816196,0.7601375492612291,0.7531429041541882,0.9010989924147256,0.6045303318882476,0.5870142778122552,0.9010989924147256,1.0,0.18732012470952428,0.6026900384781,-0.2785823684980974,0.39172669433681634,-0.4670657136111655,-0.4237865939682844,-0.4803416773966971,0.4803416773966971,0.3928337972095664,-0.1757077143248034,0.1757077143248034
topology_unique_node_ratio,-0.2082071854546864,0.09412275876135312,0.7011111399288099,0.31491558610182613,-0.31345716259881196,0.010666027665866617,-0.24365244933906707,-0.6440522931374789,0.4986381541939287,-0.24365244933906707,0.18732012470952428,1.0,-0.6461259420445429,-0.4367494030471463,0.1840979749512913,-0.09886864877431226,-0.3861950946664098,-0.05534416427329081,0.05534416427329081,0.017889886340812435,-0.3446773762304514,0.3446773762304514
topology_revisit_count,0.7655363326452275,0.5099557167662105,-0.2776217335126506,0.30233959809927713,0.8064393054422407,0.5658554843696851,0.8890962300802583,0.9996925403992643,0.025811628196171138,0.8890962300802583,0.6026900384781,-0.6461259420445429,1.0,0.19904797437946656,0.18903002893630724,-0.2288078971017121,0.047285818718002894,-0.3518423339019247,0.3518423339019247,0.33050663915096984,0.09662045497450526,-0.09662045497450526
demand_mean_v_ped,-0.24090511040473755,-0.3611776189597412,-0.1695821792580804,-0.3361803245374704,-0.18903387261797064,-0.3663686027255785,-0.051634345539136234,0.2012612776628745,-0.31248794626849546,-0.051634345539136234,-0.2785823684980974,-0.4367494030471463,0.19904797437946656,1.0,0.22167824026821384,0.4624145799114461,0.7096808666350133,0.05327903480086632,-0.05327903480086632,-0.05847557522950495,0.09614959583345592,-0.09614959583345592
demand_max_v_ped,0.2662958135143797,0.29069200711267373,0.3424159069843782,0.35698234398523854,0.21637583634858432,0.26331686866980253,0.3274126399479296,0.19884034659062969,0.34160616707735103,0.3274126399479296,0.39172669433681634,0.1840979749512913,0.18903002893630724,0.22167824026821384,1.0,-0.1974582331590268,-0.004329702610078024,-0.15558057694912475,0.15558057694912475,0.1042831284305662,-0.0903945682243997,0.0903945682243997
demand_anchor_mean_v_ped,-0.3797092126806873,-0.32536287051600843,-0.060484305140991824,-0.2531528515053913,-0.3573690640847007,-0.4532474659965256,-0.39224223104861633,-0.22962581699460805,-0.2354919678818502,-0.39224223104861633,-0.4670657136111655,-0.09886864877431226,-0.2288078971017121,0.4624145799114461,-0.1974582331590268,1.0,0.7832546797512145,0.3453360710169133,-0.3453360710169133,-0.20045649894028883,0.2942414665685444,-0.2942414665685444
demand_anchor_max_v_ped,-0.2798949958813194,-0.44447731948375924,-0.2792840139815489,-0.41988619655334597,-0.22158831138094012,-0.47564539319283455,-0.21739012681482806,0.0474135456246184,-0.34166260404941495,-0.21739012681482806,-0.4237865939682844,-0.3861950946664098,0.047285818718002894,0.7096808666350133,-0.004329702610078024,0.7832546797512145,1.0,0.37057973494810975,-0.37057973494810975,-0.28731154942996,0.3547135783497726,-0.3547135783497726
global_reward,-0.3526830880440212,-0.37864382739524033,-0.26660592573975833,-0.3958611202247991,-0.3449571894530252,-0.23205858044165506,-0.46671327797930795,-0.3578703193128525,-0.23793902989765964,-0.46671327797930795,-0.4803416773966971,-0.05534416427329081,-0.3518423339019247,0.05327903480086632,-0.15558057694912475,0.3453360710169133,0.37057973494810975,1.0,-1.0,-0.9345009143710369,0.8195940946123911,-0.8195940946123911
global_average_gtc,0.3526830880440212,0.37864382739524033,0.26660592573975833,0.3958611202247991,0.3449571894530252,0.23205858044165506,0.46671327797930795,0.3578703193128525,0.23793902989765964,0.46671327797930795,0.4803416773966971,0.05534416427329081,0.3518423339019247,-0.05327903480086632,0.15558057694912475,-0.3453360710169133,-0.37057973494810975,-1.0,1.0,0.9345009143710369,-0.8195940946123911,0.8195940946123911
global_passenger_gtc_std,0.292072229726606,0.31658367902887774,0.2401271479493949,0.33710174609170784,0.28658849318814644,0.22917635718907164,0.40492493245191813,0.33549576335410614,0.19406060384204965,0.40492493245191813,0.3928337972095664,0.017889886340812435,0.33050663915096984,-0.05847557522950495,0.1042831284305662,-0.20045649894028883,-0.28731154942996,-0.9345009143710369,0.9345009143710369,1.0,-0.7933261053911097,0.7933261053911097
global_reward_per_km,0.10675473843019204,-0.013188574783300863,-0.4636307299628485,-0.1842028080966845,0.1294978349002826,0.02012250235369583,-0.04828352543459895,0.09079923064410195,-0.21338746676230522,-0.04828352543459895,-0.1757077143248034,-0.3446773762304514,0.09662045497450526,0.09614959583345592,-0.0903945682243997,0.2942414665685444,0.3547135783497726,0.8195940946123911,-0.8195940946123911,-0.7933261053911097,1.0,-1.0
global_average_gtc_per_km,-0.10675473843019204,0.013188574783300863,0.4636307299628485,0.1842028080966845,-0.1294978349002826,-0.02012250235369583,0.04828352543459895,-0.09079923064410195,0.21338746676230522,0.04828352543459895,0.1757077143248034,0.3446773762304514,-0.09662045497450526,-0.09614959583345592,0.0903945682243997,-0.2942414665685444,-0.3547135783497726,-0.8195940946123911,0.8195940946123911,0.7933261053911097,-1.0,1.0
