episode_index,episode_return,terminated_reason,closure_mode,closed_loop,fitness_reward,average_gtc,std_gtc,route_node_count,route_path_node_ids
79,-10986.34375,closed_loop,forced,True,-10985.34396399567,5525.297811836955,,3,"[747, 745, 747]"
80,-6700.7958984375,closed_loop,forced,True,-6699.795758353621,6699.795758353621,,3,"[186, 175, 186]"
81,-6540.919921875,closed_loop,forced,True,-6539.9196989599295,3321.4004604624206,,3,"[3252, 2897, 3252]"
82,-4321.05126953125,closed_loop,forced,True,-4320.051360451657,2315.2842276918573,,3,"[1658, 1657, 1658]"
83,-19895.40625,closed_loop,forced,True,-19893.406375457656,12653.567867704895,,3,"[2509, 2286, 2509]"
84,-5504.68017578125,closed_loop,forced,True,-5503.680077722811,4735.894341220393,,3,"[3006, 3005, 3006]"
85,-20265.951194039248,closed_loop,forced,True,-20264.95126553704,12751.876446565017,,3,"[172, 709, 172]"
86,-11479.6396484375,closed_loop,forced,True,-11478.63959593936,5840.472323732244,,3,"[601, 599, 601]"
87,-109.60857375712112,closed_loop,forced,True,-103.73457445733328,103.73457445733328,,6,"[2166, 2173, 2171, 2165, 2162, 2166]"
88,-16062.00104007226,closed_loop,forced,True,-16061.001101045376,14879.163434360651,,3,"[1053, 1047, 1053]"
89,-124.86841722908684,closed_loop,forced,True,-120.86841046089532,120.86841046089532,,3,"[2588, 2589, 2588]"
90,-12312.662109375,closed_loop,forced,True,-12311.662311685766,7926.202065486684,,3,"[141, 2555, 141]"
91,-15998.4248046875,closed_loop,forced,True,-15997.425283885363,8878.24621197616,,3,"[762, 1160, 762]"
92,-13468.6728515625,closed_loop,forced,True,-13467.672984578458,13437.666192729095,,3,"[2505, 3143, 2505]"
93,-10035.4541015625,closed_loop,forced,True,-10034.453912713041,5081.478510816068,,3,"[2804, 2801, 2804]"
94,-5296.051633600565,closed_loop,forced,True,-5294.536314681128,2291.539367639569,,11,"[3360, 2594, 3356, 3358, 3361, 3363, 3361, 3362, 3359, 3357, 3360]"
95,-4466.76953125,closed_loop,forced,True,-4465.769489575404,2296.786064627168,,3,"[3099, 2618, 3099]"
96,-6284.042972747602,closed_loop,forced,True,-6283.042837472694,6283.042837472694,,3,"[2672, 3504, 2672]"
97,-5645.3857421875,closed_loop,forced,True,-5644.385574523358,5644.385574523358,,3,"[3132, 3133, 3132]"
98,-313.65533447265625,closed_loop,forced,True,-312.6553273824576,230.56973966299228,,3,"[1938, 2947, 1938]"
99,-3418.836435145342,closed_loop,forced,True,-3417.8363181016894,1805.0770636581378,,3,"[656, 655, 656]"
100,-3483.823020724125,closed_loop,forced,True,-3481.823030245954,1605.5231362886432,,3,"[2573, 2575, 2573]"
101,-7933.2685546875,closed_loop,forced,True,-7932.268649726451,4157.105414640558,,3,"[853, 851, 853]"
102,-18675.955078125,closed_loop,forced,True,-18674.95439671668,7608.803109151454,,3,"[2327, 2858, 2327]"
103,-10197.173828125,closed_loop,forced,True,-10195.1739602233,5142.572106045938,,3,"[2473, 2594, 2473]"
104,-137.1903839111328,closed_loop,forced,True,-136.19038033844555,136.19038033844555,,3,"[3590, 3589, 3590]"
105,-30917.337423410612,closed_loop,forced,True,-30914.855323440053,21314.323120559493,,5,"[407, 374, 249, 374, 407]"
106,-17818.28515625,closed_loop,forced,True,-17817.284365220214,13612.21022087747,,3,"[1168, 1167, 1168]"
107,-7622.314453125,closed_loop,forced,True,-7620.314379074551,3247.787045658833,,3,"[2085, 237, 2085]"
108,-9513.1123046875,closed_loop,forced,True,-9512.112600088334,9512.112600088334,,3,"[3324, 3326, 3324]"
109,-11819.266352575545,closed_loop,forced,True,-11815.061716117549,7904.466069071825,,11,"[2361, 2409, 2356, 2408, 2428, 2408, 2419, 2408, 2428, 2409, 2361]"
110,-14130.171900477882,closed_loop,forced,True,-14126.17168446887,8282.867491586336,,3,"[1757, 1748, 1757]"
111,-12359.140076821554,closed_loop,forced,True,-12358.139694393469,9200.060250020013,,3,"[2260, 2890, 2260]"
112,-16995.7109375,closed_loop,forced,True,-16994.710054516254,16416.882805151898,,3,"[2748, 2747, 2748]"
113,-11671.037109375,closed_loop,forced,True,-11669.03749928079,5895.81263002729,,3,"[86, 87, 86]"
114,-9023.501953125,closed_loop,forced,True,-9021.502374913083,9021.502374913083,,3,"[9, 1384, 9]"
115,-22482.474624341234,closed_loop,forced,True,-22481.475075614908,11301.10376699657,,3,"[3299, 3298, 3299]"
116,-136.4499969482422,closed_loop,forced,True,-134.4499931039905,134.4499931039905,,3,"[425, 651, 425]"
117,-13847.060546875,closed_loop,forced,True,-13845.060247788071,5864.408361198698,,3,"[1431, 1429, 1431]"
118,-6846.6650390625,closed_loop,forced,True,-6845.665060206575,3758.7291356461465,,3,"[1585, 1587, 1585]"
119,-9671.6728515625,closed_loop,forced,True,-9670.673037043367,9636.222439447645,,3,"[719, 722, 719]"
120,-180.87257385253906,closed_loop,forced,True,-179.87257116894045,178.2508730555033,,3,"[2773, 2772, 2773]"
121,-9381.5732421875,closed_loop,forced,True,-9380.573213990448,9380.573213990448,,3,"[861, 2088, 861]"
122,-10918.833115710971,closed_loop,forced,True,-10917.294657153858,5518.33338585006,,5,"[2746, 2744, 2743, 2744, 2746]"
123,-87.1862469080279,closed_loop,forced,True,-82.18623922432097,82.18623922432097,,3,"[1830, 332, 1830]"
124,-12838.28125,closed_loop,forced,True,-12837.28130726875,6628.7233570063845,,3,"[911, 909, 911]"
125,-9840.791047128361,closed_loop,forced,True,-9839.79093116656,6642.837808994544,,3,"[3585, 3586, 3585]"
126,-6330.390625,closed_loop,forced,True,-6329.390766280606,6329.390766280606,,3,"[2713, 2717, 2713]"
127,-195.78227987079572,closed_loop,forced,True,-190.78226555152168,190.78226555152168,,3,"[1221, 1223, 1221]"
128,-16432.044942046094,closed_loop,forced,True,-16428.045275034983,12086.673173311501,,3,"[2462, 2460, 2462]"
129,-111.03852081298828,closed_loop,forced,True,-110.03851700788624,107.12803238474964,,3,"[1981, 1978, 1981]"
130,-4351.29345703125,closed_loop,forced,True,-4349.293439791606,4349.293439791606,,3,"[1589, 1587, 1589]"
131,-15801.01953125,closed_loop,forced,True,-15800.019108696013,9001.782887981284,,3,"[1208, 1209, 1208]"
132,-4247.71337890625,closed_loop,forced,True,-4246.713247961711,4246.713247961711,,3,"[625, 623, 625]"
133,-145.23566071225923,closed_loop,forced,True,-143.23566340592689,139.7020377018912,,3,"[1299, 1297, 1299]"
134,-12616.04102538011,closed_loop,forced,True,-12611.040890516215,5341.890873999985,,3,"[839, 840, 839]"
135,-15860.653326123582,closed_loop,forced,True,-15858.653767661875,9128.089017399967,,3,"[1726, 2103, 1726]"
136,-19834.837890625,closed_loop,forced,True,-19833.83857266191,8974.99128874647,,3,"[3564, 3563, 3564]"
137,-5478.486328125,closed_loop,forced,True,-5477.4864424882435,2760.02421921683,,3,"[2000, 3295, 2000]"
138,-10371.3154296875,closed_loop,forced,True,-10370.31580302133,6944.33659626213,,3,"[2085, 237, 2085]"
139,-15406.7900390625,closed_loop,forced,True,-15405.78995568816,12755.77850295086,,3,"[3318, 3320, 3318]"
140,-34338.69531968471,closed_loop,forced,True,-34336.69501674563,20586.926084647108,,3,"[47, 261, 47]"
