node_id,base_node_id,x,y,lon,lat
5144421565,5144421565,638281.9426534317,919304.6087564589,124.2557211,8.3146707
5144421571,5144421571,638151.4886833967,919243.4538732374,124.2545349,8.3141214
5144421573,5144421573,638111.0417474235,919342.007332984,124.2541705,8.3150138
5144421576,5144421576,638310.5481686798,919415.0582831489,124.255984,8.3156687
5144421578,5144421578,638193.8414970305,919370.8102476426,124.2549231,8.3152719
5144421582,5144421582,637820.9027110183,919226.5511331753,124.2515329,8.313978
5240576596,5240576596,637515.8245953885,906834.1414114522,124.2484108,8.2019187
5240576597,5240576597,637582.2585051398,906851.5209325004,124.2490143,8.202074
5240585764,5240585764,634951.4144392435,907794.9736906993,124.2251606,8.2106793
5283439372,5283439372,634012.3463782548,907549.3309542586,124.2166298,8.2084837
5283439400,5283439400,634486.0812696774,906976.0079937966,124.2209141,8.2032859
5283439401,5283439401,634503.2119411145,906965.3450903264,124.2210693,8.203189
5471997345,5471997345,638199.7201574788,919336.9250565494,124.2549755,8.3149653
5471997348,5471997348,638302.1435165477,919356.3247115996,124.255906,8.3151378
5472191692,5472191692,639958.4692070473,911387.8622035504,124.2707133,8.2430297
5472192497,5472192497,638926.9045304296,918358.266752355,124.2615496,8.3060942
5472192503,5472192503,639024.7848038427,918511.4885930454,124.2624427,8.307477
5472192506,5472192506,639020.7239184327,918396.2731785573,124.2624025,8.3064352
5472192510,5472192510,638986.20598132,918382.2301944157,124.2620887,8.3063092
5472222677,5472222677,639787.5646777714,918098.0085527503,124.2693561,8.3037158
5472222683,5472222683,639791.8992228489,918175.3182038425,124.2693977,8.3044148
5472222684,5472222684,639792.8284186646,918208.4842751011,124.2694071,8.3047147
5472222686,5472222686,639789.4024739207,918146.6919758283,124.2693742,8.304156
5472244655,5472244655,639835.4030133064,915333.2852731652,124.2697102,8.2787125
5472244659,5472244659,639763.3001057161,915336.2841691803,124.2690557,8.2787417
5472244661,5472244661,639929.1816446427,915292.9352956472,124.2705604,8.2783449
5472244668,5472244668,639656.00228128,915308.7945767742,124.2680808,8.2784962
5472244672,5472244672,639794.2395358888,915316.1245457827,124.269336,8.2785585
5472244673,5472244673,639975.6698236788,915215.6000622757,124.2709802,8.2776442
5472244678,5472244678,639881.4314252968,915258.4365625962,124.2701259,8.2780343
5472244682,5472244682,639785.47878004,915282.7897897188,124.2692555,8.2782573
5472244685,5472244685,639781.8252892606,915271.3330671822,124.269222,8.2781538
5472244687,5472244687,638677.5803695839,917582.9493417685,124.2592636,8.29909
5472244694,5472244694,637892.9919030166,919643.7423444578,124.2521994,8.3177487
5472244705,5472244705,637648.65728339,919557.5033183554,124.2499785,8.3169758
5472247044,5472247044,643475.3180830507,917954.111150426,124.302833,8.3023064
5472247090,5472247090,644636.8709767621,918481.8254173234,124.3133945,8.3070439
5472256645,5472256645,639428.672334683,911114.3637516908,124.2658961,8.2405716
5472256648,5472256648,639358.2597793833,911054.5271230354,124.2652552,8.2400325
5472423342,5472423342,638710.3254461824,918041.197569076,124.2595741,8.3032331
5472423352,5472423352,638443.9490190931,917918.1838086223,124.2571521,8.3021283
5472423354,5472423354,638387.6605915123,917919.8411105816,124.2566411,8.3021449
5472423355,5472423355,638757.4277703075,918372.4019065759,124.2600113,8.3062269
5472423359,5472423359,638769.8682243862,918453.8837043298,124.2601266,8.3069634
5472423360,5472423360,638898.1782649062,918427.8851203584,124.2612908,8.3067246
5472423361,5472423361,638882.0739926205,918424.8924647196,124.2611445,8.306698
5472423362,5472423362,638834.385174508,918417.1107850843,124.2607113,8.306629
5472423363,5472423363,638763.2418510539,918404.046297528,124.260065,8.3065129
5472423364,5472423364,638903.1056805872,918454.3073422688,124.2613363,8.3069634
5472423368,5472423368,638766.4131401065,918428.5609319583,124.2600945,8.3067345
