node_id,base_node_id,x,y,lon,lat
1553540691,1553540691,636953.1138079551,908974.8505923655,124.2433634,8.2212936
1553540696,1553540696,636603.8355944005,909006.91947086,124.2401938,8.2215934
1553540698,1553540698,636635.8953108273,909006.3552611714,124.2404848,8.2215874
1553540716,1553540716,637240.9278077756,909021.9779073285,124.2459773,8.2217117
1553540720,1553540720,636964.7833100402,909030.6628370371,124.2434709,8.221798
1553540722,1553540722,636799.3002957564,909053.382097875,124.2419694,8.2220081
1553540724,1553540724,636985.7272809094,909062.0769909272,124.2436619,8.2220815
1553540725,1553540725,636907.2606508464,909067.9595200587,124.2429498,8.2221369
1553540741,1553540741,636938.2072892438,909117.2189570958,124.2432321,8.2225815
1553540743,1553540743,636897.2213534932,909132.9266678754,124.2428605,8.2227247
1553540751,1553540751,636939.362591458,909312.8698909589,124.2432481,8.2243508
1553540755,1553540755,636890.3541382726,909322.3602554329,124.2428035,8.224438
1553540769,1553540769,636780.9946526362,909343.5285991603,124.2418114,8.2246325
1553540772,1553540772,636771.9778327555,909345.2699011873,124.2417296,8.2246485
1553540777,1553540777,636919.894381771,909469.7209979028,124.2430758,8.2257698
1553540779,1553540779,636814.9814348982,909488.7577794653,124.242124,8.2259449
1553540780,1553540780,636935.7890641519,909548.403053111,124.2432223,8.2264809
1553543874,1553543874,636864.5210158752,908633.185461196,124.2425496,8.2182063
1553543875,1553543875,636986.790430751,908648.5813415938,124.2436599,8.2183421
1553543876,1553543876,636306.141202568,908813.0611471647,124.2374861,8.2198486
1553543880,1553543880,636155.046395482,908742.6980055955,124.2361126,8.2192165
1553543881,1553543881,636219.4146366611,908743.1398861427,124.2366969,8.2192187
1553543885,1553543885,636173.1891470922,908753.8892444746,124.2362776,8.2193172
1553543887,1553543887,636446.3339476862,908771.4412470692,124.2387575,8.2194683
1553543889,1553543889,636216.6523146678,908777.9194068662,124.2366728,8.2195333
1553543893,1553543893,636157.5165271255,908813.3322004122,124.236137,8.2198552
1553543895,1553543895,636323.4820813526,908809.2112784138,124.2376434,8.2198133
1553543899,1553543899,636211.2421020682,908828.249172765,124.2366251,8.2199886
1553543900,1553543900,637314.6277428977,908841.5762624603,124.2466412,8.2200782
1553543902,1553543902,636264.3036154564,908847.7200073662,124.2371073,8.2201632
1553543904,1553543904,636195.4109166432,908885.5132321133,124.236483,8.2205069
1553543905,1553543905,636226.566898903,908892.2219999859,124.236766,8.2205667
1553543906,1553543906,635927.176178037,908947.9924538252,124.2340499,8.2210794
1553543907,1553543907,636163.2590716161,908951.6285108915,124.236193,8.2211057
1553543908,1553543908,636464.7663155538,909148.4944087442,124.2389354,8.2228776
1553543910,1553543910,636085.9160640057,909164.7403198264,124.2354969,8.2230351
1553543912,1553543912,636521.0578136455,909163.5524697237,124.2394468,8.2230122
1553543913,1553543913,636185.2751984813,909178.3716487718,124.2363992,8.2231556
1553543914,1553543914,636490.8808231072,909185.8734166875,124.2391735,8.2232149
1553543915,1553543915,636141.3661816581,909188.2877253122,124.2360009,8.2232465
1553543916,1553543916,636089.1147406745,909195.6126825486,124.2355268,8.2233142
1553543919,1553543919,636514.1981691441,909215.7907806488,124.239386,8.2234848
1553543920,1553543920,636104.583556581,909230.7470057479,124.2356682,8.2236315
1553543922,1553543922,637070.6997978371,909288.2427343309,124.2444396,8.2241244
1553543926,1553543926,636176.9383527213,909302.4372944436,124.236327,8.2242778
