idx,base_osmid,layer,lat,lon,node_type
4352,1715,0,8.2375348,124.25716410000001,intersection
4353,1715,2,8.2375348,124.25716410000001,intersection
4354,1717,0,8.2381464,124.2582542,intersection
4355,1717,2,8.2381464,124.2582542,intersection
4356,1726,0,8.240137400000002,124.25854830000002,intersection
4357,1726,2,8.240137400000002,124.25854830000002,intersection
4358,1729,0,8.240841699999999,124.2608245,intersection
4359,1729,2,8.240841699999999,124.2608245,intersection
4360,1719,0,8.2390404,124.25739060000001,intersection
4361,1719,2,8.2390404,124.25739060000001,intersection
4362,1723,0,8.239719999999998,124.25954029999998,intersection
4363,1723,2,8.239719999999998,124.25954029999998,intersection
4364,1722,0,8.2395835,124.2584741,intersection
4365,1722,2,8.2395835,124.2584741,intersection
4366,1720,0,8.239084799999999,124.2571108,intersection
4367,1720,2,8.239084799999999,124.2571108,intersection
4368,1724,0,8.2404306,124.2572973,intersection
4369,1724,2,8.2404306,124.2572973,intersection
4370,1725,0,8.240289599999999,124.25701460000002,intersection
4371,1725,2,8.240289599999999,124.25701460000002,intersection
4372,1732,0,8.232905300000002,124.2583818,intersection
4373,1732,2,8.232905300000002,124.2583818,intersection
4374,1734,0,8.2356487,124.2592817,intersection
4375,1734,2,8.2356487,124.2592817,intersection
4376,1736,0,8.2360961,124.25958289999998,intersection
4377,1736,2,8.2360961,124.25958289999998,intersection
4378,3054,0,8.233142799999998,124.2639499,intersection
4379,3054,2,8.233142799999998,124.2639499,intersection
4380,1740,0,8.237514900000003,124.26055580000002,intersection
4381,1740,2,8.237514900000003,124.26055580000002,intersection
4382,1744,0,8.224412200000002,124.24087510000001,intersection
4383,1744,2,8.224412200000002,124.24087510000001,intersection
4384,1745,0,8.224725799999998,124.24104070000001,intersection
4385,1745,2,8.224725799999998,124.24104070000001,intersection
4386,1746,0,8.22455,124.2413891,intersection
4387,1746,2,8.22455,124.2413891,intersection
4388,1776,0,8.239202800000001,124.2521705,intersection
4389,1776,2,8.239202800000001,124.2521705,intersection
4390,1756,0,8.185700299999999,124.1984587,intersection
4391,1756,2,8.185700299999999,124.1984587,intersection
4392,1755,0,8.184147599999998,124.19811390000001,intersection
4393,1755,2,8.184147599999998,124.19811390000001,intersection
4394,1751,0,8.183943000000001,124.19785790000002,intersection
4395,1751,2,8.183943000000001,124.19785790000002,intersection
4396,1752,0,8.184736299999999,124.1966462,intersection
4397,1752,2,8.184736299999999,124.1966462,intersection
4398,1754,0,8.184278999999998,124.19785220000001,intersection
4399,1754,2,8.184278999999998,124.19785220000001,intersection
4400,1753,0,8.185148999999997,124.19959500000002,intersection
4401,1753,2,8.185148999999997,124.19959500000002,intersection
4402,1757,0,8.1853605,124.2003509,intersection
4403,1757,2,8.1853605,124.2003509,intersection
4404,1760,0,8.187244799999998,124.2004326,intersection
4405,1760,2,8.187244799999998,124.2004326,intersection
4406,1761,0,8.185964099999998,124.2006422,intersection
4407,1761,2,8.185964099999998,124.2006422,intersection
4408,1762,0,8.1882009,124.2002846,intersection
4409,1762,2,8.1882009,124.2002846,intersection
4410,4510,0,8.182771799999998,124.20232290000001,intersection
4411,4510,2,8.182771799999998,124.20232290000001,intersection
4412,4509,0,8.186036,124.20093440000001,intersection
4413,4509,2,8.186036,124.20093440000001,intersection
4414,3971,0,8.1887741,124.2002076,intersection
4415,3971,2,8.1887741,124.2002076,intersection
4416,1763,0,8.1741076,124.24210490000002,intersection
4417,1763,2,8.1741076,124.24210490000002,intersection
4418,1764,0,8.1751882,124.24223360000002,intersection
4419,1764,2,8.1751882,124.24223360000002,intersection
4420,1765,0,8.1518602,124.2596283,intersection
4421,1765,2,8.1518602,124.2596283,intersection
4422,1766,0,8.179530300000001,124.24724799999998,intersection
4423,1766,2,8.179530300000001,124.24724799999998,intersection
4424,2684,0,8.1596225,124.2633951,intersection
4425,2684,2,8.1596225,124.2633951,intersection
4426,2682,0,8.136646999999996,124.2699435,intersection
4427,2682,2,8.136646999999996,124.2699435,intersection
4428,1769,0,8.180474799999999,124.24862870000001,intersection
4429,1769,2,8.180474799999999,124.24862870000001,intersection
4430,1767,0,8.1814047,124.2503761,intersection
4431,1767,2,8.1814047,124.2503761,intersection
4432,1768,0,8.182003399999997,124.2505451,intersection
4433,1768,2,8.182003399999997,124.2505451,intersection
4434,3861,0,8.1837928,124.2532924,intersection
4435,3861,2,8.1837928,124.2532924,intersection
4436,4823,0,8.182353900000003,124.25353980000001,intersection
4437,4823,2,8.182353900000003,124.25353980000001,intersection
4438,2556,0,8.181460000000001,124.2418888,intersection
4439,2556,2,8.181460000000001,124.2418888,intersection
4440,1772,0,8.238965600000002,124.2528612,intersection
4441,1772,2,8.238965600000002,124.2528612,intersection
4442,5002,0,8.234889100000002,124.2440889,intersection
4443,5002,2,8.234889100000002,124.2440889,intersection
4444,1779,0,8.238461300000003,124.2457648,intersection
4445,1779,2,8.238461300000003,124.2457648,intersection
4446,1783,0,8.1674542,124.2832714,intersection
4447,1783,2,8.1674542,124.2832714,intersection
4448,1784,0,8.163358799999997,124.29413039999999,intersection
4449,1784,2,8.163358799999997,124.29413039999999,intersection
4450,1785,0,8.190506899999999,124.26319780000001,intersection
4451,1785,2,8.190506899999999,124.26319780000001,intersection
4452,4695,0,8.171556999999998,124.29787790000002,intersection
4453,4695,2,8.171556999999998,124.29787790000002,intersection
4454,4822,0,8.156638999999998,124.27831930000002,intersection
4455,4822,2,8.156638999999998,124.27831930000002,intersection
4456,1789,0,8.192074500000002,124.26043790000001,intersection
4457,1789,2,8.192074500000002,124.26043790000001,intersection
4458,1790,0,8.1941865,124.2691778,intersection
4459,1790,2,8.1941865,124.2691778,intersection
4460,1786,0,8.179664399999997,124.2830783,intersection
4461,1786,2,8.179664399999997,124.2830783,intersection
4462,1787,0,8.192410499999998,124.27652130000001,intersection
4463,1787,2,8.192410499999998,124.27652130000001,intersection
4464,1788,0,8.182069099999998,124.29331700000002,intersection
4465,1788,2,8.182069099999998,124.29331700000002,intersection
4466,1791,0,8.196139499999997,124.27339389999999,intersection
4467,1791,2,8.196139499999997,124.27339389999999,intersection
4468,4694,0,8.1813496,124.2941478,intersection
4469,4694,2,8.1813496,124.2941478,intersection
4470,4696,0,8.188326,124.2935872,intersection
4471,4696,2,8.188326,124.2935872,intersection
4472,1792,0,8.1948569,124.257836,intersection
4473,1792,2,8.1948569,124.257836,intersection
4474,1799,0,8.2061543,124.27395880000002,intersection
4475,1799,2,8.2061543,124.27395880000002,intersection
4476,1793,0,8.195970699999998,124.25645110000002,intersection
4477,1793,2,8.195970699999998,124.25645110000002,intersection
4478,1794,0,8.195503300000002,124.2588179,intersection
4479,1794,2,8.195503300000002,124.2588179,intersection
4480,1796,0,8.195663299999998,124.2548912,intersection
4481,1796,2,8.195663299999998,124.2548912,intersection
4482,2138,0,8.1971959,124.258609,intersection
4483,2138,2,8.1971959,124.258609,intersection
4484,1795,0,8.1952896,124.2540863,intersection
4485,1795,2,8.1952896,124.2540863,intersection
4486,1797,0,8.1956381,124.2539643,intersection
4487,1797,2,8.1956381,124.2539643,intersection
4488,1798,0,8.1945664,124.2543362,intersection
4489,1798,2,8.1945664,124.2543362,intersection
4490,2410,0,8.198421,124.25182789999998,intersection
4491,2410,2,8.198421,124.25182789999998,intersection
4492,2710,0,8.1950613,124.2523777,intersection
4493,2710,2,8.1950613,124.2523777,intersection
4494,2385,0,8.193378299999996,124.2547466,intersection
4495,2385,2,8.193378299999996,124.2547466,intersection
4496,4448,0,8.2125166,124.2850052,intersection
4497,4448,2,8.2125166,124.2850052,intersection
4498,4852,0,8.209485999999998,124.275367,intersection
4499,4852,2,8.209485999999998,124.275367,intersection
4500,1800,0,8.2207507,124.24051030000001,intersection
4501,1800,2,8.2207507,124.24051030000001,intersection
